inc_day,all_fee_rmb
2016-10-04,1430.45579016
2016-10-05,1371.72919664
2016-10-06,1386.24086079
2016-10-07,1410.13115556
2016-10-08,1660.71659957
2016-10-09,1596.35468782
2016-10-10,1700.93839844
2016-10-11,1730.09584554
2016-10-12,1755.00351068
2016-10-13,1780.71912333
2016-10-14,1828.27972861
2016-10-15,1447.16045454
2016-10-16,1262.69383933
2016-10-17,1687.35477912
2016-10-18,1728.88225944
2016-10-19,1740.10820326
2016-10-20,1775.63177636
2016-10-21,1687.86832909
2016-10-22,1478.65084165
2016-10-23,1313.91246744
2016-10-24,1716.9945546
2016-10-25,1801.39405544
2016-10-26,1773.781657
2016-10-27,1762.15439253
2016-10-28,1855.366003
2016-10-29,1490.78331301
2016-10-30,1352.54670951
2016-10-31,1678.38164305
2016-11-01,1748.85416861
2016-11-02,1695.07184601
2016-11-03,1723.23607305
2016-11-04,1762.10257008
2016-11-05,1383.77487745
2016-11-06,1244.76704932
2016-11-07,1680.03099637
2016-11-08,1762.9248244
2016-11-09,1734.17605123
2016-11-10,1771.23022679
2016-11-11,4406.11937347
2016-11-12,4541.4742743
2016-11-13,3854.17609241
2016-11-14,2871.29035758
2016-11-15,2708.52377572
2016-11-16,2348.10457667
2016-11-17,2252.48073069
2016-11-18,2218.57895792
2016-11-19,1813.72369119
2016-11-20,1688.64590577
2016-11-21,1891.95882254
2016-11-22,1948.98140565
2016-11-23,1961.31805398
2016-11-24,1970.87754627
2016-11-25,2030.33214432
2016-11-26,1587.54252468
2016-11-27,1425.1461004
2016-11-28,1951.34879568
2016-11-29,1988.65572566
2016-11-30,1932.26983271
2016-12-01,1838.21097468
2016-12-02,1906.51615838
2016-12-03,1565.36626451
2016-12-04,1356.30540022
2016-12-05,1763.30149667
2016-12-06,1822.42845741
2016-12-07,1933.14331501
2016-12-08,1811.53531907
2016-12-09,1859.63307944
2016-12-10,1509.72157339
2016-12-11,1290.71371995
2016-12-12,2948.76423228
2016-12-13,2838.28921304
2016-12-14,2310.36629635
2016-12-15,2058.69109887
2016-12-16,1989.43384369
2016-12-17,1583.47763227
2016-12-18,1449.08386681
2016-12-19,1840.4807329
2016-12-20,1999.58391926
2016-12-21,2033.15446266
2016-12-22,1998.29238709
2016-12-23,2055.74366775
2016-12-24,1581.05569397
2016-12-25,1395.24013519
2016-12-26,1868.84318513
2016-12-27,1921.25964193
2016-12-28,1903.13008801
2016-12-29,1854.726611
2016-12-30,1816.00300746
2016-12-31,1537.70470684
2017-01-01,1214.68231757
2017-01-02,1408.12548604
2017-01-03,1741.99498411
2017-01-04,1841.36398485
2017-01-05,1809.23051004
2017-01-06,1889.48249213
2017-01-07,1534.67953192
2017-01-08,1708.95255267
2017-01-09,2094.23805951
2017-01-10,2123.82731755
2017-01-11,2076.24778039
2017-01-12,2050.38265114
2017-01-13,2138.28605512
2017-01-14,1854.10307787
2017-01-15,1809.66580425
2017-01-16,2221.37898013
2017-01-17,2432.24424883
2017-01-18,2464.3326853
2017-01-19,2418.79118437
2017-01-20,2318.5689663
2017-01-21,1791.2640051
2017-01-22,1556.7075598
2017-01-23,1163.92128717
2017-01-24,962.827391871
2017-01-25,828.074195094
2017-01-26,832.929464982
2017-01-27,872.812926067
2017-01-28,842.976484099
